"AI","Bottle","Site","Species","Time","Dead","Alive"
"Etofenprox","Eto 1","WHE","Cx. pipiens","0","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","5","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","10","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","15","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","20","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","25","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","30","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","35","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","40","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","45","0","22"
"Etofenprox","Eto 1","WHE","Cx. pipiens","60","2","20"
"Etofenprox","Eto 1","WHE","Cx. pipiens","75","4","18"
"Etofenprox","Eto 2","WHE","Cx. pipiens","0","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","5","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","10","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","15","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","20","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","25","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","30","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","35","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","40","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","45","0","23"
"Etofenprox","Eto 2","WHE","Cx. pipiens","60","0","23"
"Etofenprox","Eto 3","WHE","Cx. pipiens","0","0","23"
"Etofenprox","Eto 3","WHE","Cx. pipiens","5","0","23"
"Etofenprox","Eto 3","WHE","Cx. pipiens","10","0","23"
"Etofenprox","Eto 3","WHE","Cx. pipiens","15","0","23"
"Etofenprox","Eto 3","WHE","Cx. pipiens","20","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","25","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","30","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","35","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","40","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","45","2","21"
"Etofenprox","Eto 3","WHE","Cx. pipiens","60","3","20"
"Etofenprox","Eto 3","WHE","Cx. pipiens","75","3","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","0","0","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","5","0","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","10","0","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","15","0","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","20","0","20"
"Etofenprox","Eto 1","DPS","Cx. pipiens","25","1","19"
"Etofenprox","Eto 1","DPS","Cx. pipiens","30","1","19"
"Etofenprox","Eto 1","DPS","Cx. pipiens","35","2","18"
"Etofenprox","Eto 1","DPS","Cx. pipiens","40","2","18"
"Etofenprox","Eto 1","DPS","Cx. pipiens","45","3","17"
"Etofenprox","Eto 1","DPS","Cx. pipiens","60","4","16"
"Etofenprox","Eto 1","DPS","Cx. pipiens","75","6","14"
"Etofenprox","Eto 1","DPS","Cx. pipiens","90","10","10"
"Etofenprox","Eto 1","DPS","Cx. pipiens","105","13","7"
"Etofenprox","Eto 1","DPS","Cx. pipiens","120","13","7"
"Etofenprox","Eto 2","DPS","Cx. pipiens","0","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","5","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","10","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","15","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","20","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","25","1","19"
"Etofenprox","Eto 2","DPS","Cx. pipiens","30","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","35","0","20"
"Etofenprox","Eto 2","DPS","Cx. pipiens","40","1","19"
"Etofenprox","Eto 2","DPS","Cx. pipiens","45","2","18"
"Etofenprox","Eto 2","DPS","Cx. pipiens","60","2","18"
"Etofenprox","Eto 2","DPS","Cx. pipiens","75","3","17"
"Etofenprox","Eto 2","DPS","Cx. pipiens","90","3","17"
"Etofenprox","Eto 2","DPS","Cx. pipiens","105","5","15"
"Etofenprox","Eto 2","DPS","Cx. pipiens","120","7","13"
"Etofenprox","Eto 3","DPS","Cx. pipiens","0","0","31"
"Etofenprox","Eto 3","DPS","Cx. pipiens","5","0","31"
"Etofenprox","Eto 3","DPS","Cx. pipiens","10","0","31"
"Etofenprox","Eto 3","DPS","Cx. pipiens","15","1","30"
"Etofenprox","Eto 3","DPS","Cx. pipiens","20","2","29"
"Etofenprox","Eto 3","DPS","Cx. pipiens","25","1","30"
"Etofenprox","Eto 3","DPS","Cx. pipiens","30","1","30"
"Etofenprox","Eto 3","DPS","Cx. pipiens","35","3","28"
"Etofenprox","Eto 3","DPS","Cx. pipiens","40","3","28"
"Etofenprox","Eto 3","DPS","Cx. pipiens","45","3","28"
"Etofenprox","Eto 3","DPS","Cx. pipiens","60","8","23"
"Etofenprox","Eto 3","DPS","Cx. pipiens","75","9","22"
"Etofenprox","Eto 3","DPS","Cx. pipiens","90","9","22"
"Etofenprox","Eto 3","DPS","Cx. pipiens","105","14","17"
"Etofenprox","Eto 3","DPS","Cx. pipiens","120","17","14"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","0","0","23"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","5","0","23"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","10","1","22"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","15","7","16"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","20","13","10"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","25","14","9"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","30","16","7"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","35","19","4"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","40","19","4"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","45","20","3"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","60","20","3"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","75","20","3"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","90","20","3"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","105","20","3"
"Sumethrin","Treatment 1","AHB","Cx. pipiens","120","20","3"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","0","0","24"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","5","0","24"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","10","5","19"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","15","13","11"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","20","13","11"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","25","16","8"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","30","18","6"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","35","18","6"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","40","23","1"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","45","23","1"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","60","23","1"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","75","23","1"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","90","23","1"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","105","24","0"
"Sumethrin","Treatment 2","AHB","Cx. pipiens","120","24","0"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","0","0","23"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","5","1","22"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","10","2","21"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","15","6","17"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","20","9","14"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","25","14","9"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","30","15","8"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","35","18","5"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","40","20","3"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","45","21","2"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","60","22","1"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","75","22","1"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","90","23","0"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","105","23","0"
"Sumethrin","Treatment 3","AHB","Cx. pipiens","120","23","0"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","0","0","21"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","5","0","21"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","10","0","21"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","15","2","19"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","20","8","13"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","25","10","11"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","30","12","9"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","35","12","9"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","40","14","7"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","45","15","6"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","60","17","4"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","75","18","3"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","90","19","2"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","105","21","0"
"Sumethrin","Treatment 1","DPN","Cx. pipiens","120","21","0"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","0","0","21"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","5","0","21"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","10","0","21"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","15","6","15"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","20","9","12"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","25","11","10"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","30","17","4"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","35","18","3"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","40","18","3"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","45","18","3"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","60","18","3"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","75","20","1"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","90","21","0"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","105","21","0"
"Sumethrin","Treatment 2","DPN","Cx. pipiens","120","21","0"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","0","0","22"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","5","0","22"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","10","0","22"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","15","7","15"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","20","14","8"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","25","16","6"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","30","20","2"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","35","20","2"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","40","21","1"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","45","21","1"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","60","21","1"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","75","22","0"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","90","22","0"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","105","22","0"
"Sumethrin","Treatment 3","DPN","Cx. pipiens","120","22","0"
"Etofenprox","Eto 1","AHS","Cx. restuans","0","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","5","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","10","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","15","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","20","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","25","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","30","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","35","0","26"
"Etofenprox","Eto 1","AHS","Cx. restuans","40","2","24"
"Etofenprox","Eto 1","AHS","Cx. restuans","45","4","22"
"Etofenprox","Eto 1","AHS","Cx. restuans","60","4","22"
"Etofenprox","Eto 1","AHS","Cx. restuans","75","10","16"
"Etofenprox","Eto 1","AHS","Cx. restuans","90","19","7"
"Etofenprox","Eto 1","AHS","Cx. restuans","105","19","7"
"Etofenprox","Eto 1","AHS","Cx. restuans","120","21","5"
"Etofenprox","Eto 2","AHS","Cx. pipiens","0","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","5","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","10","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","15","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","20","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","25","0","24"
"Etofenprox","Eto 2","AHS","Cx. pipiens","30","2","22"
"Etofenprox","Eto 2","AHS","Cx. pipiens","35","4","20"
"Etofenprox","Eto 2","AHS","Cx. pipiens","40","4","20"
"Etofenprox","Eto 2","AHS","Cx. pipiens","45","8","16"
"Etofenprox","Eto 2","AHS","Cx. pipiens","60","11","13"
"Etofenprox","Eto 2","AHS","Cx. pipiens","75","14","10"
"Etofenprox","Eto 2","AHS","Cx. pipiens","90","18","6"
"Etofenprox","Eto 2","AHS","Cx. pipiens","105","18","6"
"Etofenprox","Eto 2","AHS","Cx. pipiens","120","22","2"
"Etofenprox","Eto 3","AHS","Cx. pipiens","0","0","32"
"Etofenprox","Eto 3","AHS","Cx. pipiens","5","0","32"
"Etofenprox","Eto 3","AHS","Cx. pipiens","10","0","32"
"Etofenprox","Eto 3","AHS","Cx. pipiens","15","0","32"
"Etofenprox","Eto 3","AHS","Cx. pipiens","20","1","31"
"Etofenprox","Eto 3","AHS","Cx. pipiens","25","4","28"
"Etofenprox","Eto 3","AHS","Cx. pipiens","30","6","26"
"Etofenprox","Eto 3","AHS","Cx. pipiens","35","8","24"
"Etofenprox","Eto 3","AHS","Cx. pipiens","40","13","19"
"Etofenprox","Eto 3","AHS","Cx. pipiens","45","14","18"
"Etofenprox","Eto 3","AHS","Cx. pipiens","60","21","11"
"Etofenprox","Eto 3","AHS","Cx. pipiens","75","22","10"
"Etofenprox","Eto 3","AHS","Cx. pipiens","90","30","2"
"Etofenprox","Eto 3","AHS","Cx. pipiens","105","30","2"
"Etofenprox","Eto 3","AHS","Cx. pipiens","120","30","2"
"Sumithrin","S4","Colony","Cx. pipiens","0","0","22"
"Sumithrin","S4","Colony","Cx. pipiens","5","0","22"
"Sumithrin","S4","Colony","Cx. pipiens","10","7","15"
"Sumithrin","S4","Colony","Cx. pipiens","15","21","1"
"Sumithrin","S4","Colony","Cx. pipiens","20","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","25","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","30","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","35","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","40","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","45","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","60","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","75","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","90","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","105","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","120","22","0"
"Sumithrin","S5","Colony","Cx. pipiens","0","0","19"
"Sumithrin","S5","Colony","Cx. pipiens","5","0","19"
"Sumithrin","S5","Colony","Cx. pipiens","10","5","14"
"Sumithrin","S5","Colony","Cx. pipiens","15","14","5"
"Sumithrin","S5","Colony","Cx. pipiens","20","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","25","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","30","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","35","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","40","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","45","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","60","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","75","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","90","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","105","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","120","19","0"
"Sumithrin","S6","Colony","Cx. pipiens","0","0","20"
"Sumithrin","S6","Colony","Cx. pipiens","5","1","19"
"Sumithrin","S6","Colony","Cx. pipiens","10","2","18"
"Sumithrin","S6","Colony","Cx. pipiens","15","12","8"
"Sumithrin","S6","Colony","Cx. pipiens","20","14","6"
"Sumithrin","S6","Colony","Cx. pipiens","25","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","30","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","35","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","40","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","45","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","60","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","75","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","90","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","105","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E1","Colony","Cx. pipiens","5","3","17"
"Etofenprox","E1","Colony","Cx. pipiens","10","8","12"
"Etofenprox","E1","Colony","Cx. pipiens","15","18","2"
"Etofenprox","E1","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E2","Colony","Cx. pipiens","5","1","19"
"Etofenprox","E2","Colony","Cx. pipiens","10","5","15"
"Etofenprox","E2","Colony","Cx. pipiens","15","19","1"
"Etofenprox","E2","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E6","Colony","Cx. pipiens","5","3","17"
"Etofenprox","E6","Colony","Cx. pipiens","10","6","14"
"Etofenprox","E6","Colony","Cx. pipiens","15","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","120","20","0"
